"num";"name";"slug";"uri";"name_russian";"name_kazakh";"user_russian";"user_kazakh";"duration_russian";"duration_kazakh";"scenes_russian";"scenes_kazakh";"completed_russian";"completed_kazakh";"voice_russian";"voice_kazakh";"celebrity_house";"program_no";"num_in_program";"comp_russian";"comp_kazakh";"mix_russian";"mix_kazakh";"seq_russian";"seq_kazakh"
"142";"Джамшид ибн Масуд ибн Махмуд Гияс ад-Дин аль-Каши";"dzhamshid-ibn-masud-ibn-mahmud-giyas-ad-din-al-kashi";"http://aroslanov.com/api/celebrity/dzhamshid-ibn-masud-ibn-mahmud-giyas-ad-din-al-kashi";"Джамшид ибн Масуд ибн Махмуд Гияс ад-Дин аль-Каши";"";"Ирина Староверова";"";"79950";"0";"8";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"143";"Джанни Родари";"dzhanni-rodari";"http://aroslanov.com/api/celebrity/dzhanni-rodari";"Джанни Родари";"";"Сергей Ким";"";"81549";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"144";"Джеймс Грегори";"dzhejms-gregori";"http://aroslanov.com/api/celebrity/dzhejms-gregori";"Джеймс Грегори";"";"Сергей Ким";"Майра Тургинбаева";"78351";"78351";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"145";"Джеймс Джоуль";"dzhejms-dzhoul";"http://aroslanov.com/api/celebrity/dzhejms-dzhoul";"Джеймс Джоуль";"";"Ирина Староверова";"";"77285";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"146";"Джеймс Клерк Максвелл";"dzhejms-klerk-maksvell";"http://aroslanov.com/api/celebrity/dzhejms-klerk-maksvell";"Джеймс Клерк Максвелл";"";"Ирина Староверова";"Майра Тургинбаева";"78884";"82082";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"147";"Джеймс Кук";"dzhejms-kuk";"http://aroslanov.com/api/celebrity/dzhejms-kuk";"Джеймс Кук";"";"Лия Будиянская";"";"79417";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"148";"Джеймс Уатт";"dzhejms-uatt";"http://aroslanov.com/api/celebrity/dzhejms-uatt";"Джеймс Уатт";"";"Ирина Староверова";"Майра Тургинбаева";"79417";"77285";"11";"11";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"149";"Джеймс Фе́нимор Ку́пер";"dzhejms-fenimor-kuper";"http://aroslanov.com/api/celebrity/dzhejms-fenimor-kuper";"Джеймс Фе́нимор Ку́пер";"";"Айгерим Оспанова";"Майра Тургинбаева";"79950";"77285";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"150";"Джек Лондон";"dzhek-london";"http://aroslanov.com/api/celebrity/dzhek-london";"Джек Лондон";"";"Ирина Староверова";"Майра Тургинбаева";"77818";"80483";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"151";"Джеральд Малкольм Даррелл";"dzherald-malkolm-darrell";"http://aroslanov.com/api/celebrity/dzherald-malkolm-darrell";"Джеральд Малкольм Даррелл";"";"Наталья Няшина";"";"82615";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"152";"Джероламо Кардано";"dzherolamo-kardano";"http://aroslanov.com/api/celebrity/dzherolamo-kardano";"Джероламо Кардано";"";"Сергей Ким";"Майра Тургинбаева";"79417";"78351";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"153";"Джироламо Фракасторо";"dzhirolamo-frakastoro";"http://aroslanov.com/api/celebrity/dzhirolamo-frakastoro";"Джироламо Фракасторо";"";"Лия Будиянская";"";"77818";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"154";"Джоакино Антонио Россини";"dzhoakino-antonio-rossini";"http://aroslanov.com/api/celebrity/dzhoakino-antonio-rossini";"Джоакино Антонио Россини";"";"Дария Ибрагимова";"";"9061";"0";"1";"0";"false";"false";"0";"0";"";"";"";"";"";"";"";"";""
"155";"Джованни  Лоренцо Бернини";"dzhovanni-lorenco-bernini";"http://aroslanov.com/api/celebrity/dzhovanni-lorenco-bernini";"Джованни  Лоренцо Бернини";"";"Дария Ибрагимова";"";"79417";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"156";"Джованни Баттиста Тьеполо";"dzhovanni-battista-tepolo";"http://aroslanov.com/api/celebrity/dzhovanni-battista-tepolo";"Джованни Баттиста Тьеполо";"";"Лия Будиянская";"Зоя Койшыбаева";"78351";"77285";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"157";"Джованни Ланфранко";"dzhovanni-lanfranko";"http://aroslanov.com/api/celebrity/dzhovanni-lanfranko";"Джованни Ланфранко";"";"Айгерим Оспанова";"Майра Тургинбаева";"79417";"78884";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"158";"Джозеф Листер";"dzhozef-lister";"http://aroslanov.com/api/celebrity/dzhozef-lister";"Джозеф Листер";"";"Лия Будиянская";"";"79417";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"159";"Джозеф Редьярд Киплинг";"dzhozef-redyard-kipling";"http://aroslanov.com/api/celebrity/dzhozef-redyard-kipling";"Джозеф Редьярд Киплинг";"";"Ирина Староверова";"";"81549";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"160";"Джон Валлис";"dzhon-vallis";"http://aroslanov.com/api/celebrity/dzhon-vallis";"Джон Валлис";"";"Ирина Староверова";"Майра Тургинбаева";"78884";"78884";"9";"9";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
"161";"Джон Дальтон";"dzhon-dalton";"http://aroslanov.com/api/celebrity/dzhon-dalton";"Джон Дальтон";"";"Лия Будиянская";"";"77818";"0";"8";"0";"true";"false";"0";"0";"";"";"";"";"";"";"";"";""
"162";"Джон Локк";"dzhon-lokk";"http://aroslanov.com/api/celebrity/dzhon-lokk";"Джон Локк";"";"Лия Будиянская";"Майра Тургинбаева";"80483";"80483";"8";"8";"true";"true";"0";"0";"";"";"";"";"";"";"";"";""
